"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Abstract"
"Advances in Applications Portability and Services Interoperability among Multiple Clouds","https://scispace.com/papers/advances-in-applications-portability-and-services-4qe84yru51","2015","Journal Article","IEEE Cloud Computing","Beniamino Di Martino
Giuseppina Cretella
Antonio Esposito","10.1109/MCC.2015.38","","No","Despite the exponential growth in available services and their broad adoption, cloud computing solutions are still heavily affected by the lack of a shared and worldwide accepted standard for their description and exposition to customers. This is reflected in the portability and interoperability issues often arising when customers try to exploit multicloud solutions. In this article the solutions proposed by the most prominent European research projects are presented, together with a set of emerging de jure and de facto standards and affirmed cloud platforms."
"Model Driven Deployment of Auto-Scaling Services on Multiple Clouds","https://scispace.com/papers/model-driven-deployment-of-auto-scaling-services-on-multiple-1xmdzav5sx","2018","Proceedings Article","","Hanieh Alipour
Yan Liu","10.1109/ICSA-C.2018.00033","","No","Hybrid cloud platforms have been adopted to facilitate different parts of services to deliver functionalities to service consumers. Each cloud platform offers elastic resource allocation, which accommodates fluctuating demands on services by automating the provision/deprovision of resources, referred as auto-scaling. In term of service deployment, auto-scaling is usually not interoperable between multiple cloud platforms. As a result, the service level auto-scaling strategy needs to be configured separately on disparate cloud platforms, which incurs difficulties in tracing the configuration and maintaining consistent deployment. This paper presents a model-driven method to connect a cloud platform independent model of services with cloud specific operations. Through the automated transformation from model to the configuration, we use cloud management tools to deliver auto-scaling deployment across clouds. We demonstrate our method with scaling configuration and deployment of an open source benchmark application - Dell DVD store on two cloud platforms, AWS and Rackspace. The experiment demonstrates our proposed method resolves the vendor lock issues by a model-to-configuration-to-deployment automation. The empirical measurement shows our method reduces the effort of deploying auto-scaling services on cloud platforms."
"Policy as Code: A paradigm shifts in infrastructure security and governance","https://scispace.com/papers/policy-as-code-a-paradigm-shifts-in-infrastructure-security-kvokzawwc4y6","2025","Journal Article","World Journal Of Advanced Research and Reviews","Sundeep Vijayaraghavan","10.30574/wjarr.2025.26.1.1441","","No","Policy as Code represents a transformative approach to infrastructure security and governance in modern cloud environments. By codifying security and compliance policies as machine-readable code, organizations can automate enforcement throughout the development lifecycle. This paradigm shift addresses the velocity gap between rapid development cycles and traditionally slower security processes, enabling consistent policy enforcement without sacrificing agility. The integration with CI/CD pipelines allows for ""shifting left"" security considerations, identifying and remediating issues before they reach production. Various implementation approaches have emerged, from open-source tools like Open Policy Agent to cloud-native solutions, each with distinct advantages. While implementation challenges exist, including policy language complexity and organizational alignment, established best practices help organizations navigate these hurdles. As infrastructure continues to evolve, Policy as Code emerges as an essential strategy for maintaining security and compliance in dynamic, cloud-native environments, transforming governance from a perceived roadblock into an enabler of innovation."
"Ensuring Compliance in Cloud Native Assurance and IT Audits","https://scispace.com/papers/ensuring-compliance-in-cloud-native-assurance-and-it-audits-dhs1pjvmmm2y","2025","Journal Article","","H Abhinav Shankar","10.4018/979-8-3373-3078-5.ch010","","No","This chapter fundamentally redefines compliance strategies for cloud-native environments, moving away from traditional audit practices that no longer align with the ephemeral and automated nature of modern infrastructure. Rather than relying on manual, after-the-fact evidence collection, the chapter advocates integrating compliance directly into development and deployment workflows. Approaches such as Infrastructure as Code and Policy-as-Code are emphasized, alongside automated enforcement mechanisms, immutable audit trails, and robust observability to support ongoing regulatory adherence. However, technology alone is not sufficient—success also hinges on fostering cross-functional collaboration, upskilling teams, and driving cultural change so that compliance becomes an intrinsic part of day-to-day operations. By aligning governance with the agility demanded by contemporary software delivery, this framework supports audit readiness, mitigates risk, and helps organizations maintain trust with stakeholders."
"DevSecOps-Driven Security Framework for CI/CD Pipeline Risk Mitigation","https://scispace.com/papers/devsecops-driven-security-framework-for-ci-cd-pipeline-risk-yjape1hq893s","2025","Journal Article","International journal of computing and engineering","Arpit Mishra","10.47941/ijce.3047","","No","Modern software development organizations face escalating security challenges within their Continuous Integration and Continuous Deployment (CI/CD) pipeline infrastructure, necessitating robust DevSecOps methodologies to counter sophisticated vulnerabilities. Contemporary DevSecOps frameworks establish security controls at every stage of the pipeline lifecycle, systematically addressing threats that pose risks to software delivery operations and organizational assets. By implementing structured security integration strategies, organizations achieve both velocity and protection without sacrificing either priority. The zero-trust frameworks analyzed within this context demonstrate significant efficacy when applied to pipeline components, establishing verification checkpoints at critical junctures. Policy-as-code solutions further automate compliance verification, ensuring that security requirements remain enforceable across evolving infrastructure configurations. Security benchmarking results demonstrate substantial improvements in vulnerability detection timeliness, threat containment capabilities, and overall defensive posture when the prescribed controls operate cohesively. The framework establishes governance structures, validation mechanisms, and monitoring protocols that function effectively within rapid deployment cycles while maintaining appropriate security guardrails. Through systematic implementation of these integrated security practices, development teams and security professionals collaborate effectively to create resilient CI/CD environments capable of withstanding evolving threats while preserving deployment velocity."
"Advancing Organizational Resilience Through Enterprise GRC Integration Frameworks","https://scispace.com/papers/advancing-organizational-resilience-through-enterprise-grc-43i377lbd15r","2024","Journal Article","","Nnennaya Halliday","10.62225/2583049x.2024.4.5.4888","","No","In an era defined by regulatory complexity, escalating cyber threats, and rapid market volatility, organizational resilience has emerged as a critical determinant of long-term competitiveness. Traditional siloed approaches to governance, risk management, and compliance (GRC) are increasingly inadequate for navigating these challenges, as they hinder cross-functional collaboration and real-time decision-making. This examines the role of Enterprise GRC Integration Frameworks as a strategic enabler for resilience, focusing on the unification of governance, risk, and compliance processes into a cohesive, enterprise-wide architecture. By aligning policy, process, and technology layers, integrated GRC frameworks facilitate proactive risk identification, standardized compliance monitoring, and agile incident response capabilities. This explores core framework components—governance oversight, enterprise risk registers, unified compliance reporting, and data governance—underpinned by interoperable technology platforms and automation. Methodologies such as process mapping, workflow standardization, and Policy-as-Code implementation are discussed as pathways to embedding compliance and risk management into operational systems. Moreover, integrated GRC enables predictive analytics, scenario modeling, and adaptive feedback loops, thereby enhancing the organization’s ability to anticipate disruptions and adapt policies in real time. Implementation challenges, including cultural resistance, technology fragmentation, and change management complexities, are analyzed alongside mitigation strategies emphasizing executive sponsorship, phased deployment, interoperable platforms, and continuous GRC literacy programs. Future directions highlight the integration of artificial intelligence for policy interpretation and anomaly detection, as well as the alignment of environmental, social, and governance (ESG) metrics with resilience objectives. Ultimately, Enterprise GRC Integration Frameworks are positioned not merely as compliance mechanisms but as strategic infrastructures that build stakeholder confidence, safeguard operational continuity, and drive sustainable performance. Organizations that embrace integrated GRC as a resilience enabler will be better equipped to navigate uncertainty, meet evolving regulatory demands, and maintain trust in an increasingly volatile global environment."
"ARPaCCino: An Agentic-RAG for Policy as Code Compliance","https://scispace.com/papers/arpaccino-an-agentic-rag-for-policy-as-code-compliance-cnydpthqzszp","2025","Journal Article","arXiv.org","Francesco Romeo
Luigi Arena
Francesco Blefari
F. A. Pironti
Matteo Lupinacci
Angelo Furfaro","10.48550/arxiv.2507.10584","https://scispace.com/pdf/arpaccino-an-agentic-rag-for-policy-as-code-compliance-cnydpthqzszp.pdf","No","Policy as Code (PaC) is a paradigm that encodes security and compliance policies into machine-readable formats, enabling automated enforcement in Infrastructure as Code (IaC) environments. However, its adoption is hindered by the complexity of policy languages and the risk of misconfigurations. In this work, we present ARPaCCino, an agentic system that combines Large Language Models (LLMs), Retrieval-Augmented-Generation (RAG), and tool-based validation to automate the generation and verification of PaC rules. Given natural language descriptions of the desired policies, ARPaCCino generates formal Rego rules, assesses IaC compliance, and iteratively refines the IaC configurations to ensure conformance. Thanks to its modular agentic architecture and integration with external tools and knowledge bases, ARPaCCino supports policy validation across a wide range of technologies, including niche or emerging IaC frameworks. Experimental evaluation involving a Terraform-based case study demonstrates ARPaCCino's effectiveness in generating syntactically and semantically correct policies, identifying non-compliant infrastructures, and applying corrective modifications, even when using smaller, open-weight LLMs. Our results highlight the potential of agentic RAG architectures to enhance the automation, reliability, and accessibility of PaC workflows."
"Devops Compliance-as-Code","https://scispace.com/papers/devops-compliance-as-code-mttanramvmo7","2024","Journal Article","Universal library of engineering technology.","Venkata Surendra Reddy Narapareddy
Suresh Kumar Yerramilli","10.70315/uloap.ulete.2024.0102008","","No","The rising simplicity and speed of software distribution in DevOps chains has exaggerated the problem of assuring conformity with regulations without detriment to agility. However, not only are traditional manual compliance processes error-prone, but they are also unlikely to keep pace with the rapidity and scale of cloud-native development. As a response, the paradigm of Compliance-as-Code (CaC) has emerged, integrating compliance requirements into DevOps workflows through code-based, automated, and version-controlled processes. DevOps Compliance-as-Code is the topic of this article, which covers the theoretical background and technologies that make this approach possible, real-life applications, and the emerging research trends. Drawing from scholarly and industry literature, including recent advances in secure DevOps, cloud automation, and generative AI, the discussion demonstrates how Compliance-as-Code ensures traceability, repeatability, and auditability of compliance actions across the software lifecycle (Vadisetty et al., 2023; Abrahams &amp; Langerman, 2018). With policies embedded as runnable code, organizations may achieve proactive control of risks, regulatory controls, and efficient governance in highly dynamic and decentralized development platforms. This article presents a critical review of the advantages, obstacles, and strategy that is required to implement Compliance-as-Code in Modern DevOps environments."
"Automated Architectural Control: Implementing the Governance as Code","https://scispace.com/papers/automated-architectural-control-implementing-the-governance-4l0akjy63go0","2024","Journal Article","","Igor Panasiuk","10.1109/icecie63774.2024.10815678","","No","Governance as Code (GaC) is an emerging approach aimed at automating software architectural control within the modern software engineering industry. This article addresses the challenges associated with software architectural control and presents the generalized GaC approach as a solution that enables the transformation of the architectural control process from a theoretical framework into an automated, practical tool for ensuring compliance with engineering and security standards. The implementation of GaC is structured around three key tasks: representing software architecture as a universal formal model, performing reverse engineering to extract software architecture from ready-to-deploy systems, and automating the verification of architectural control rules. For each of these tasks, a solution is provided along with the underlying motivations."
"Azure policy implementation for enterprise governance: A framework for regulatory compliance and resource management","https://scispace.com/papers/azure-policy-implementation-for-enterprise-governance-a-7gxlrs8zs4zb","2025","Journal Article","World Journal Of Advanced Research and Reviews","Suresh Kotha Naga Venkata Hanuma","10.30574/wjarr.2025.26.2.2034","","No","Azure Policy implementation provides a transformative approach to enterprise governance in cloud environments, enabling organizations to automate compliance enforcement and standardize resource management. Through examining a multinational corporation's implementation across global infrastructure, this article documents how automated policy enforcement addresses limitations of traditional manual governance processes. It evaluates quantifiable improvements in compliance rates, resource management efficiency, and cost-effectiveness while acknowledging implementation challenges including policy conflicts, performance impacts, and integration complexities. The article of Azure Policy's practical application demonstrates how organizations can maintain consistent governance at scale while reducing administrative overhead. Future directions identified include AI-enhanced predictive compliance, cross-cloud standardization, and zero-trust architecture enforcement, representing evolutionary paths toward more sophisticated governance frameworks that further reduce compliance risks while supporting operational agility."
"A DevSecOps Policy-as-Code Model for Compliance Automation in Lakehouse Environments","https://scispace.com/papers/a-devsecops-policy-as-code-model-for-compliance-automation-wr4jottg5s63","2024","Journal Article","Deleted Journal","Babawale Patrick Okare
Tope David Aduloju
Eunice Nduta Kamau
Chisom Elizabeth Alozie
Okeoma Onunka
Linda Azah","10.62225/2583049x.2024.4.6.4594","","No","In modern data ecosystems, lakehouse architectures unify the flexibility of data lakes with the reliability of data warehouses, enabling versatile analytics and machine learning workflows. However, the dynamic and distributed nature of lakehouses introduces significant governance challenges, particularly in ensuring continuous compliance with evolving regulatory frameworks. This paper proposes a novel DevSecOps Policy-as-Code (PaC) model tailored for lakehouse environments that automates compliance enforcement across data ingestion, transformation, storage, and consumption layers. By integrating declarative policy definitions into CI/CD pipelines, the model enables real-time policy validation and enforcement through a centralized policy registry and a powerful policy engine. It supports multiple enforcement stages, pre-deployment checks, runtime validations, and periodic audits, while generating comprehensive, automated audit logs to ensure traceability and accountability. The architecture facilitates seamless integration with leading lakehouse platforms such as Databricks, Delta Lake, and Apache Iceberg, and automates security controls including role-based and attribute-based access management, secrets handling, and encryption enforcement. Observability features provide continuous monitoring of compliance posture, alerting mechanisms, and remediation workflows, transforming compliance from a static checkpoint to a dynamic, continuous process. This approach reduces manual overhead, mitigates risk, and fosters a compliance-first culture within agile data teams. The paper concludes by discussing practical implications for enterprise data governance and outlining future research directions, including semantic policy modeling, AI-enhanced compliance analytics, and multi-cloud policy harmonization. The proposed model represents a significant step toward scalable, auditable, and adaptive compliance automation in next-generation lakehouse data architectures."
"Policy framework for Cloud Computing: AI, governance, compliance and management","https://scispace.com/papers/policy-framework-for-cloud-computing-ai-governance-39pciiwpy43b","2024","Journal Article","Global Journal of Engineering and Technology Advances","Daniel Olatunde Babalola
Adebisi Adedoyin
Foyeke Ogundipe
Adebola Folorunso
Chineme Edgar Nwatu","10.30574/gjeta.2024.21.2.0212","","No","The rapid evolution of cloud computing has transformed data management, operational efficiency, and artificial intelligence (AI) capabilities across industries. However, this advancement presents new challenges in governance, compliance, and management, necessitating a comprehensive policy framework to ensure secure, ethical, and effective cloud usage. This review examines a robust policy framework designed to address these challenges, focusing on the integration of AI, governance practices, regulatory compliance, and cloud management. The framework outlines specific policies for AI, emphasizing ethical considerations, accountability, and transparency, alongside mechanisms for privacy and bias mitigation to foster responsible AI deployment in cloud environments. Governance policies are structured to establish clear data stewardship, risk management, and continuous monitoring protocols, ensuring that cloud resources align with organizational and regulatory standards. Moreover, compliance is addressed through adherence to global standards such as GDPR and HIPAA, with an emphasis on data sovereignty, auditability, and vendor accountability to maintain regulatory alignment across jurisdictions. Management policies within the framework focus on optimizing resource allocation, enforcing Service Level Agreements (SLAs), and developing disaster recovery and business continuity strategies. These management policies aim to balance cost-efficiency with performance reliability. Recognizing the complexities of multi-cloud and hybrid environments, the framework proposes adaptable guidelines that accommodate rapid technological shifts and address security and privacy risks inherent in cloud computing. Through case studies and best practices, this framework offers actionable insights for organizations seeking to implement secure, compliant, and efficient cloud systems. In exploring the future landscape, the review anticipates emerging regulations and underscores the importance of industry-wide collaboration in refining cloud policies. This policy framework provides a foundation for organizations to harness the full potential of cloud computing while upholding standards in AI ethics, data governance, and regulatory compliance."
"CAG: compliance adherence and governance in software delivery using blockchain","https://scispace.com/papers/cag-compliance-adherence-and-governance-in-software-delivery-vfppwiucm2","2019","Proceedings Article","","Kapil Singi
Vikrant Kaulgud
R. P. Jagadeesh Chandra Bose
Sanjay Podder","10.1109/WETSEB.2019.00011","","No","The software development life cycle (SDLC) starts with business and functional specifications signed with a client. In addition to this, the specifications also capture policy / procedure / contractual / regulatory / legislation / standard compliances with respect to a given client industry. The SDLC must adhere to service level agreements (SLAs) while being compliant to development activities, processes, tools, frameworks, and reuse of open-source software components. In today's world, global software development happens across geographically distributed (autonomous) teams consuming extraordinary amounts of open source components drawn from a variety of disparate sources. Although this is helping organizations deal with technical and economic challenges, it is also increasing unintended risks, e.g., use of a non-complaint license software might lead to copyright issues and litigations, use of a library with vulnerabilities pose security risks etc. Mitigation of such risks and remedial measures is a challenge due to lack of visibility and transparency of activities across these distributed teams as they mostly operate in silos. We believe a unified model that non-invasively monitors and analyzes the activities of distributed teams will help a long way in building software that adhere to various compliances. In this paper, we propose a decentralized CAG - Compliance Adherence and Governance framework using blockchain technologies. Our framework (i) enables the capturing of required data points based on compliance specifications, (ii) analyzes the events for non-conformant behavior through smart contracts, (iii) provides real-time alerts, and (iv) records and maintains an immutable audit trail of various activities."
"Automated compliance management in hybrid cloud architectures: A policy-as-code approach","https://scispace.com/papers/automated-compliance-management-in-hybrid-cloud-7dj1l94yti11","2023","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Adekanmi Miracle Adeyinka","10.30574/wjaets.2023.10.1.0265","","No","Compliance management grew in complexity with the proliferation of hybrid cloud infrastructures that integrate on-premises systems with public cloud services. Manual and traditional methods of compliance enforcement are becoming increasingly ineffective in these dynamic heterogeneous environments, exposing risk elevation and inefficient operations. This study explores the applicability of Policy-as-Code (PaC) as a disruption agent for compliance automation under hybrid cloud architectures. PaC enforces obligations continuously, monitors them in real-time, and remediates them automatically by embedding these obligations as machine-readable, declarative policies. The paper reviews the evolution of compliance automation, introduces a conceptual model for PaC integration across hybrid environments, and presents a reference architecture and workflow design for ensuring continuous compliance. It then evaluates the prominent tools and platforms that have varying support for said reference architecture, such as Open Policy Agent, HashiCorp Sentinel, and Azure Policy, describing their features, interoperability, and domain-specific use cases, e.g., finance, healthcare, and the public sector. Finally, the research establishes benefits, current limitations for alternative directions for adoption, and a future for PaC with respect to achieving scalable auditable compliance strategies that are resilient across cloud ecosystems from another perspective."
"A Matter of Policy","https://scispace.com/papers/a-matter-of-policy-28mifet7b0","2012","Journal Article","IT Professional","David F. Ferraiolo
Jeffrey Voas
George Hurlburt","10.1109/MITP.2012.30","","No","To many, system policy is a statement posted on a website indicating intention to protect personal data. In reality, policy is much broader, and its enforcement far more consequential. What if policy-derived rule sets could be rigorously defined and automated for software-intensive systems? Imagine a ""policy machine"" that allows codification of arbitrary rules stemming from policy to create executable code. Such a tool exists today at the US National Institute of Standards and Technology. The NIST Policy Machine offers a new technology in enforcing the important role of policy in systems design, evolution, management, and policy enforcement."
"ExPDT: Ein Policy-basierter Ansatz zur Automatisierung von Compliance","https://scispace.com/papers/expdt-ein-policy-basierter-ansatz-zur-automatisierung-von-1v9o8bdtti","2008","Journal Article","Wirtschaftsinformatik und Angewandte Informatik","Stefan Sackmann
Martin Kähmer","10.1007/S11576-008-0078-1","","No","Remaining in compliance with growing requirements from new laws, regulations, standards, or contracts demands increasing IT support beyond simple reporting tools or archiving solutions. However, an efficient IT support of compliance management requires a more general approach. In this contribution, a framework for automating compliance is introduced. Policies are seen as the key to aligning non-technical compliance requirements to a technical IT system. The policy language ExPDT is presented and evaluated with regard to maintaining flexibility of business processes and validating compliance."
"Amazon Web Services Cloud Compliance Automation with Open Policy Agent","https://scispace.com/papers/amazon-web-services-cloud-compliance-automation-with-open-21c8o96wzpz5","2024","Journal Article","","Arya Paul
R. Joseph Manoj
S. Udhayakumar","10.1109/icoeca62351.2024.00063","","No","The security challenges posed by Infrastructure as code (IaC) are outgrowing established security procedures in an era of rapidly adopting cloud computing and DevOps methodologies. Using security principles to be integrated into the CI/CD pipeline for continuous validation and remediation, this research work proposes a DevSecOps approach to enable cloud environment IaC security. The proposed architecture evaluates CloudFormation Template file to the specified security policy by utilizing Open Policy Agent (OPA). Any violations are flagged by OPA, which may force the deployment process to stop. By incorporating security and compliance considerations into the development pipeline, this method guarantees that vulnerabilities are kept out of production systems. Organizations can improve the overall security posture of their cloud systems by proactively identifying and remediating security problems by implementing a DevSecOps approach. By ensuring that IaC deployments adhere to specified security policies based on the compliance requirements, OPA's continuous security validation reduces the possibility of misconfigurations and security flaws."
"Modeling laws with nomos 2","https://scispace.com/papers/modeling-laws-with-nomos-2-4jnzvpmhwr","2013","Proceedings Article","International Workshop on Requirements Engineering and Law","Silvia Ingolfo
Alberto Siena
Angelo Susi
Anna Perini
John Mylopoulos","10.1109/RELAW.2013.6671350","","No","Nomos is a framework for modelling law-compliant solutions in software system design. It provides a core set of concepts to enable exploring and selecting alternatives in a variability space defined by laws, a graphical notation to visualize models, and tool support for compliance analysis. This short paper illustrates the features above and sketches some of the research challenges ahead."
"rtGovOps: A Runtime Framework for Governance in Large-Scale Software-Defined IoT Cloud Systems","https://scispace.com/papers/rtgovops-a-runtime-framework-for-governance-in-large-scale-4j8w72molm","2015","Proceedings Article","Mobile Cloud Computing & Services","Stefan Nastic
Michael Vogler
Christian Inzinger
Hong-Linh Truong
Schahram Dustdar","10.1109/MOBILECLOUD.2015.38","https://scispace.com/pdf/rtgovops-a-runtime-framework-for-governance-in-large-scale-4j8w72molm.pdf","Yes","The ongoing convergence of cloud computing and the IoT gives rise to the proliferation of diverse, large-scale IoT and mobile cloud systems Such novel IoT cloud systems offer numerous advantages for all involved stakeholders However, due to scale, complexity, and inherent geographical distribution of such systems, governing new IoT cloud resources poses numerous challenges In this paper we introduce rtGovOps, a novel framework for on-demand runtime operational governance of software-defined IoT cloud systems To illustrate the feasibility of our framework and its practical applicability to implement and execute operational governance processes in large-scale software-defined IoT cloud system, we evaluate our approach using a real-world case study on managing fleets of electric vehicles"
"Understanding Everything as Code: A Taxonomy and Conceptual Model","https://scispace.com/papers/understanding-everything-as-code-a-taxonomy-and-conceptual-gzub1a7p18tv","2025","Journal Article","arXiv.org","Haoran Wei
Nazim H. Madhavji
John Steinbacher","10.48550/arxiv.2507.05100","https://scispace.com/pdf/understanding-everything-as-code-a-taxonomy-and-conceptual-gzub1a7p18tv.pdf","No","Background: Everything as Code (EaC) is an emerging paradigm aiming to codify all aspects of modern software systems. Despite its growing popularity, comprehensive industry standards and peer-reviewed research clarifying its scope and guiding its adoption remain scarce. Aims: This study systematically analyzes existing knowledge and perceptions of EaC, clarifies its scope and boundaries, and provides structured guidance for researchers and practitioners. Method: We conducted a large-scale multivocal literature review (MLR), synthesizing academic and grey literature sources. Findings were analyzed quantitatively and thematically. Based on this analysis, we developed a taxonomy and conceptual model of EaC, validated through collaboration with industry experts. Results: The resulting taxonomy comprises 25 distinct EaC practices organized into six layers based on industry awareness and functional roles. The conceptual model illustrates focus areas, overlaps, and interactions among these EaC practices within the software delivery lifecycle. Additionally, practical code examples demonstrating the implementation of these practices were developed in collaboration with industry experts. Conclusions: This work addresses the current scarcity of academic discourse on EaC by providing the first comprehensive taxonomy and conceptual model. These contributions enhance conceptual clarity, offer actionable guidance to practitioners, and lay the groundwork for future research in this emerging domain."
"Secure Software Engineering: A Synthesis of SSDLC, Devsecops, and Ai-Driven Threat Mitigation","https://scispace.com/papers/secure-software-engineering-a-synthesis-of-ssdlc-devsecops-simvljjoi0w6","2025","Journal Article","Deleted Journal","Augustine Osazee Airhiavbere
Desmond Nomaren Idehen","10.62054/ijdm/0203.13","https://scispace.com/pdf/secure-software-engineering-a-synthesis-of-ssdlc-devsecops-simvljjoi0w6.pdf","No","This study explores the critical convergence of software development and cybersecurity through a mixed-method approach combining systematic literature review, quantitative analysis, and case study evaluation to investigate the effectiveness of secure software development practices. As cyber threats grow in sophistication, traditional software engineering models prioritizing functionality and efficiency have proven inadequate in addressing evolving security challenges. The incorporation of Secure Software Development Lifecycle (SSDLC) and DevSecOps methodologies has emerged as a pivotal strategy, embedding security considerations from the earliest phases of development. This paper provides a comprehensive review of secure software development practices, core cybersecurity principles, regulatory compliance requirements, and technological innovations driving this integration. Drawing on insights from academic research, industry reports, and real-world applications, the findings emphasize the effectiveness of security-centric development paradigms, such as SSDLC and DevSecOps, in mitigating risks and strengthening software resilience. Furthermore, emerging technologies like artificial intelligence, blockchain, and automated security testing are reshaping secure development strategies by enabling predictive analytics, dynamic access control, and proactive vulnerability detection. Empirical results indicate that organizations adopting security-first frameworks report measurable reductions in system vulnerabilities and enhanced response times to incidents. This study underscores the imperative of embedding security within software engineering processes to ensure robust application design, safeguard user data, maintain system integrity, and reinforce the broader digital ecosystem. The findings offer valuable guidance for software developers, cybersecurity professionals, and organizational leaders seeking to enhance the security posture and long-term resilience of their software systems"
"Rubacon: automated support for model-based compliance engineering","https://scispace.com/papers/rubacon-automated-support-for-model-based-compliance-2dc8cc1qb4","2008","Proceedings Article","International Conference on Software Engineering","Sebastian Höhn
Jan Jürjens","10.1145/1368088.1368228","https://rgse.uni-koblenz.de/jj/publications/papers/icse08tooltalk.pdf","No","Compliance frameworks, laws and regulations such as Sarbanes Oxley, Basel II, Solvency II, HIPAA etc. demand from companies in a more and more rigorous way to demonstrate that their organisation, processes and supporting IT landscape implement and follow a set of guidelines at differing levels of abstraction. The work presented in this paper aims to contribute to a software engineering process which is driven by security, risk and compliance management considerations. We concentrate on a part of this approach that focusses on the question how one can use software engineering methods and tools to enforce that the configuration of a system enforces the security policies that arise from business compliance regulations. We present tool support for Model-based Compliance Engineering, i.e. for the model-based development and analysis of software configurations that ensures compliance with security policies. It allows one to check UML models of business applications and their configuration data for adherence to security policies and compliance requirements. The tool is based on standardized data formats, such as UML and XML, which makes its integration into existing business architectures as efficient as possible."
"Assimilating and Optimizing Software Assurance in the SDLC: A Framework and Step-Wise Approach","https://scispace.com/papers/assimilating-and-optimizing-software-assurance-in-the-sdlc-a-41gitpgshc","2010","Journal Article","International Journal of Secure Software Engineering","Aderemi O. Adeniji
Seok-Won Lee","10.4018/JSSE.2010100104","","No","Software Assurance is the planned and systematic set of activities that ensures software processes and products conform to requirements while standards and procedures in a manner that builds trusted systems and secure software. While absolute security may not yet be possible, procedures and practices exist to promote assurance in the software lifecycle. In this paper, the authors present a framework and step-wise approach towards achieving and optimizing assurance by infusing security knowledge, techniques, and methodologies into each phase of the Software Development Lifecycle SDLC."
"Toward (Semi-) Automated End-to-End Model-driven Compliance Framework.","https://scispace.com/papers/toward-semi-automated-end-to-end-model-driven-compliance-gpvbyz55t5","2016","","","Sagar Sunkle
Deepali Kholkar","","http://ceur-ws.org/Vol-1561/paper6.pdf","Yes","For modern enterprises, compliance to regulations has become increasingly important. Yet, substantial manual interventions and lack of interoperable models of various compliance aspects contribute to an ineffective implementation and rising costs of compliance. We propose a (semi-) automated end-to-end compliance framework that has the potential to address these challenges. Our contributions are twofold. We first describe how reliance on domain experts and non-holistic treatment of compliance poses severe problems. We then propose a framework on top of our prior work to address the same. Ongoing explorations suggest that such a framework can better equip enterprises for efficient and effective compliance."
"From Regulatory Policies to Event Monitoring Rules: Towards Model-Driven Compliance Automation","https://scispace.com/papers/from-regulatory-policies-to-event-monitoring-rules-towards-otwqbqf7kw","2006","","","Christopher J. Giblin
Samuel Muller
Birgit Pfitzmann","","","Yes","The complexity and costs of conforming to regulatory objectives in large enterprises has drastically heightened the need for consistent and automated approaches to managing compliance. To uniformly describe and manage compliance policies in distributed and heterogeneous IT environments, we have proposed a compliance metamodel for formally capturing regulatory requirements and managing them in a systematic lifecycle. A key aspect in automating compliance involves the monitoring of application events to determine whether business processes and applications operate within the parameters set forth in formal compliance policies. We show how subsets of the regulations, industry guidances or best practices that are expressed in terms of the metamodel can be (semi-)automatically transformed into event monitoring rules with the help of temporal rule patterns. Using examples of regulatory requirements, we demonstrate their formalization in compliance policies and their automated transformation into event correlation rules."
"DECIDE: DevOps for Trusted, Portable and Interoperable Multi-cloud Applications Towards the Digital Single Market","https://scispace.com/papers/decide-devops-for-trusted-portable-and-interoperable-multi-5amb0rzvim","2019","Book Chapter","Product Focused Software Process Improvement","Leire Orue-Echevarria
Juncal Alonso
Marisa Escalante
Kyriakos Stefanidis
Lorenzo Blasi","10.1007/978-3-030-35333-9_45","https://scispace.com/pdf/decide-devops-for-trusted-portable-and-interoperable-multi-5amb0rzvim.pdf","Yes","The transformation from a product to service economy means that companies need to become software service providers as well as consumers Cloud enables greater business agility by making IT infrastructure more flexible The current trends of deploying applications following a hybrid cloud, multi-cloud or cross-cloud architecture, as well as the design, development and operation of multi-cloud native applications based on microservices present several challenges for their developers and operators This paper presents a solution implemented in the context of the European project DECIDE which aims to support DevOps teams in the design, pre-deployment, contracting, deployment and operation of multi-cloud native applications with the provisioning of an integrated framework The project is entering its late phase, in which the DevOps framework is currently being validated and evaluated in various use cases"
