"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"Declarative automated cloud resource orchestration","https://scispace.com/papers/declarative-automated-cloud-resource-orchestration-1lkkyst0lw","2011","Proceedings Article","Symposium on Cloud Computing","Changbin Liu
Boon Thau Loo
Yun Mao","10.1145/2038916.2038942","https://scispace.com/pdf/declarative-automated-cloud-resource-orchestration-1lkkyst0lw.pdf","Yes"
"soCloud: a service-oriented component-based PaaS for managing portability, provisioning, elasticity, and high availability across multiple clouds","https://scispace.com/papers/socloud-a-service-oriented-component-based-paas-for-managing-40ffdqrdav","2016","Journal Article","Computing","Fawaz Paraiso
Philippe Merle
Lionel Seinturier","10.1007/S00607-014-0421-X","https://scispace.com/pdf/socloud-a-service-oriented-component-based-paas-for-managing-40ffdqrdav.pdf","Yes"
"Towards Formal-Based Semantic Interoperability in Multi-Clouds: The FCLOUDS Framework","https://scispace.com/papers/towards-formal-based-semantic-interoperability-in-multi-46z4af474x","2017","Proceedings Article","International Conference on Cloud Computing","Stéphanie Challita
Fawaz Paraiso
Philippe Merle","10.1109/CLOUD.2017.98","","No"
"Adaptive management of applications across multiple clouds: The SeaClouds Approach","https://scispace.com/papers/adaptive-management-of-applications-across-multiple-clouds-1xwkdxm7g9","2015","Journal Article","Clei Electronic Journal","Antonio Brogi
Jose Carrasco
Javier Cubo
Elisabetta Di Nitto
Francisco Durán
Michela Fazzolari
Ahmad Ibrahim
Ernesto Pimentel
Jacopo Soldani
Pengwei Wang
Francesco D'Andria","10.19153/CLEIEJ.18.1.1","https://scispace.com/pdf/adaptive-management-of-applications-across-multiple-clouds-1xwkdxm7g9.pdf","Yes"
"Occopus: a Multi-Cloud Orchestrator to Deploy and Manage Complex Scientific Infrastructures","https://scispace.com/papers/occopus-a-multi-cloud-orchestrator-to-deploy-and-manage-fu0ectuh7t","2018","Journal Article","Journal of Grid Computing","József Kovács
Péter Kacsuk
Péter Kacsuk","10.1007/S10723-017-9421-3","","No"
"EasyCloud: Multi-clouds made easy","https://scispace.com/papers/easycloud-multi-clouds-made-easy-18vdlb3t8e","2021","Proceedings Article","Computer Software and Applications Conference","Cosimo Anglano
Massimo Canonico
Marco Guazzone","10.1109/COMPSAC51774.2021.00078","","No"
"Supercloud: Opportunities and Challenges","https://scispace.com/papers/supercloud-opportunities-and-challenges-1h29np8xt1","2015","Journal Article","Operating Systems Review","Qin Jia
Zhiming Shen
Weijia Song
Robbert van Renesse
Hakim Weatherspoon","10.1145/2723872.2723892","https://scispace.com/pdf/supercloud-opportunities-and-challenges-1h29np8xt1.pdf","No"
"A survey on cloud interoperability: taxonomies, standards, and practice","https://scispace.com/papers/a-survey-on-cloud-interoperability-taxonomies-standards-and-3nqlh7gwto","2013","Journal Article","Measurement and Modeling of Computer Systems","Zhizhong Zhang
Chuan Wu
David W. Cheung","10.1145/2479942.2479945","https://scispace.com/pdf/a-survey-on-cloud-interoperability-taxonomies-standards-and-3nqlh7gwto.pdf","No"
"ICOMF: Towards a Multi-cloud Ecosystem for Dynamic Resource Composition and Scaling","https://scispace.com/papers/icomf-towards-a-multi-cloud-ecosystem-for-dynamic-resource-48c4d15m65","2013","Proceedings Article","IEEE International Conference on Cloud Computing Technology and Science","Ana-Maria Oprescu
Alexandru-Florian Antonescu
Yuri Demchenko
Cees de Laat","10.1109/CLOUDCOM.2013.14","","No"
"Cloud MF: Applying MDE to Tame the Complexity of Managing Multi-cloud Applications","https://scispace.com/papers/cloud-mf-applying-mde-to-tame-the-complexity-of-managing-45f55v2wtk","2014","Proceedings Article","IEEE/ACM International Conference Utility and Cloud Computing","Nicolas Ferry
Hui Song
Alessandro Rossini
Franck Chauvel
Arnor Solberg","10.1109/UCC.2014.36","","No"
"Cloud Integration and Orchestration","https://scispace.com/papers/cloud-integration-and-orchestration-1l5gm27dvh","2023","Book Chapter","Texts in computer science","Chellammal Surianarayanan
Pethuru Raj","10.1007/978-3-031-32044-6_11","","No"
"An Overview of Multi-cloud Computing","https://scispace.com/papers/an-overview-of-multi-cloud-computing-5c50sn81ug","2019","Book Chapter","Advanced Information Networking and Applications","Jiangshui Hong
Thomas Dreibholz
Joseph Adam Schenkel
Jiaxi Alessia Hu","10.1007/978-3-030-15035-8_103","","No"
"Cloud Orchestration","https://scispace.com/papers/cloud-orchestration-29cgik78559r","","","","Chellammal Surianarayanan
Pethuru Raj Chelliah","10.1007/978-3-030-13134-0_11","","No"
"Problems of multi-cloud solutions deploying and managing","https://scispace.com/papers/problems-of-multi-cloud-solutions-deploying-and-managing-48yg6fzkt7qe","2021","Journal Article","Бионика интеллекта","N. Kravets
M.S. Chernyshov","10.30837/bi.2021.1(96).10","","No"
"Securing Multi-Cloud Architectures: A Machine Learning Perspective","https://scispace.com/papers/securing-multi-cloud-architectures-a-machine-learning-4b93a35g0j","2024","Journal Article","Deleted Journal","Sundeep Reddy Mamidi","10.60087/jaigs.v2i1.160","","No"
"Multi-Cloud Deployment with Kubernetes: Challenges, Strategies, and Performance Optimization","https://scispace.com/papers/multi-cloud-deployment-with-kubernetes-challenges-strategies-603mb78v30w7","2025","Journal Article","International Scientific Journal of Engineering and Management","Anila Gogineni","10.55041/isjem00036","","No"
"Multi-Cloud: expectations and current approaches","https://scispace.com/papers/multi-cloud-expectations-and-current-approaches-fez8wotkth","2013","Proceedings Article","","Dana Petcu","10.1145/2462326.2462328","","No"
"Orchestration from the cloud to the edge","https://scispace.com/papers/orchestration-from-the-cloud-to-the-edge-5brf3nodh1","2020","Book Chapter","","Sergej Svorobej
Malika Bendechache
Frank Griesinger
Jörg Domaschka","10.1007/978-3-030-41110-7_4","https://scispace.com/pdf/orchestration-from-the-cloud-to-the-edge-5brf3nodh1.pdf","Yes"
"Cloud Services Orchestration: A Comparative Study of Existing Approaches","https://scispace.com/papers/cloud-services-orchestration-a-comparative-study-of-existing-580r0dva3v","2014","Proceedings Article","Advanced Information Networking and Applications","Khadija Bousselmi
Zaki Brahmi
Mohamed Mohsen Gammoudi","10.1109/WAINA.2014.72","","No"
"Interoperability and Portability Approaches in Inter-Connected Clouds: A Review","https://scispace.com/papers/interoperability-and-portability-approaches-in-inter-4l8j9vwa8h","2017","Journal Article","ACM Computing Surveys","Kiranbir Kaur
Sandeep Sharma
Karanjeet Singh Kahlon","10.1145/3092698","","No"
"Hybrid Clouds: Implementation and obstacles","https://scispace.com/papers/hybrid-clouds-implementation-and-obstacles-3m8v3kktgj","2016","","","Victor Bylin","","","Yes"
"Multi Cloud &amp; Hybrid Cloud Architecture Patterns for Fintech Space","https://scispace.com/papers/multi-cloud-hybrid-cloud-architecture-patterns-for-fintech-3v5c8oim0ub8","2022","Journal Article","Journal of Civil Engineering Research & Technology","Ramasankar Molleti -","10.47363/jcert/2022(4)e101","","No"
"Smart System for Multi-Cloud Pathways","https://scispace.com/papers/smart-system-for-multi-cloud-pathways-2lthdve7","2022","Journal Article","","I. Banipal
Shubhi Asthana","10.1109/BigData55660.2022.10021041","","No"
"The Prospects for Multi-Cloud Deployment of SaaS Applications with Container Orchestration Platforms","https://scispace.com/papers/the-prospects-for-multi-cloud-deployment-of-saas-12jdm1z61r","2016","Proceedings Article","International Middleware Conference","Vincent Reniers","10.1145/3009925.3009930","","No"
"Future of cloud computing: Innovations in multi-cloud and hybrid architectures","https://scispace.com/papers/future-of-cloud-computing-innovations-in-multi-cloud-and-1fgzezeq2iqb","2019","Journal Article","World Journal Of Advanced Research and Reviews","Bangar Raju Cherukuri","10.30574/wjarr.2019.1.1.0002","","No"
"Good Bye Vendor Lock-in: Getting your Cloud Applications Multi-Cloud Ready!","https://scispace.com/papers/good-bye-vendor-lock-in-getting-your-cloud-applications-2rgqjlx87u","2019","Proceedings Article","IEEE/ACM International Conference Utility and Cloud Computing","Marta Rozanska
Kyriakos Kritikos","10.1145/3368235.3370267","","No"
"Towards Model-Driven Multi-Cloud Resource Management","https://scispace.com/papers/towards-model-driven-multi-cloud-resource-management-4pg5jv6gpo","2016","","","Fawaz Paraiso
Stéphanie Challita
Yahya Al-Dhuraibi
Philippe Merle","","https://hal.inria.fr/hal-01534785/document","Yes"
"Optimizing Cloud Computing Performance: A Comparative Study of Hybrid and Multi-Cloud Architectures","https://scispace.com/papers/optimizing-cloud-computing-performance-a-comparative-study-vl7w2k9hy24m","2024","Journal Article","Journal of Sustainable Solutions.","Mukta Sharma","10.36676/j.sust.sol.v1.i4.47","","No"
"Autonomous Multi-Cloud Application Deployment and Optimized Management Using Open Source Frameworks","https://scispace.com/papers/autonomous-multi-cloud-application-deployment-and-optimized-1d5qeuevs6","2020","Proceedings Article","International Conference on Autonomic Computing","Marta Rozanska
Geir Horn","10.1109/ACSOS-C51401.2020.00072","","No"
"Hybrid Clouds Arising from Software as a Service Adoption: Challenges, Solutions, and Future Research Directions","https://scispace.com/papers/hybrid-clouds-arising-from-software-as-a-service-adoption-2olp1iwj","2022","Journal Article","ACM Computing Surveys","Michael J. Seifert
Stephan Kühnel
Stefan Sackmann","10.1145/3570156","https://scispace.com/pdf/hybrid-clouds-arising-from-software-as-a-service-adoption-2olp1iwj.pdf","Yes"
"Policy-based Deployment in a Hybrid and Multicloud Environment","https://scispace.com/papers/policy-based-deployment-in-a-hybrid-and-multicloud-19in34eh3h","2019","Proceedings Article","International Conference on Cloud Computing and Services Science","Giuseppe Di Modica
Orazio Tomarchio
Hao Wei
Joaquín Salvachúa Rodríguez","10.5220/0007726503880395","","Yes"
"Multicloud service composition: A survey of current approaches and issues","https://scispace.com/papers/multicloud-service-composition-a-survey-of-current-2m67j50e2g","2018","Journal Article","Journal of Software: Evolution and Process","Fatma Lahmar
Haithem Mezni","10.1002/SMR.1947","","No"
"State-of-the-Art Architectures for Interoperability of Heterogeneous Clouds","https://scispace.com/papers/state-of-the-art-architectures-for-interoperability-of-74spwjfb","2022","Proceedings Article","2022 IEEE 16th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)","Anton Caceres
Larysa Globa","10.1109/tcset55632.2022.9766965","","No"
"Orchestrating Hybrid Cloud Deployment: An Overview","https://scispace.com/papers/orchestrating-hybrid-cloud-deployment-an-overview-3078we4vse","2014","Journal Article","IEEE Computer","Edwin Sturrus
Olga Kulikova","10.1109/MC.2014.159","","No"
"A Survey on Autonomic Multi-cloud Computing","https://scispace.com/papers/a-survey-on-autonomic-multi-cloud-computing-3qnbi92p","2022","Proceedings Article","","Diego Cananea Nobrega De Azevedo
Carlos Ferraz","10.1109/CloudCom55334.2022.00015","","No"
"Defining Cross-Cloud Systems","https://scispace.com/papers/defining-cross-cloud-systems-2b4xwdrail","2016","Posted Content","arXiv: Distributed, Parallel, and Cluster Computing","Yehia Elkhatib","","https://arxiv.org/pdf/1602.02698.pdf","Yes"
"An Approach to Orchestrating and Connecting Workloads Across Multi-clouds","https://scispace.com/papers/an-approach-to-orchestrating-and-connecting-workloads-across-4xcat9np","2022","Book Chapter","International Conference on P2P, Parallel, Grid, Cloud and Internet Computing","Humberto José de Sousa
Douglas Dyllon Jeronimo de Macedo","10.1007/978-3-031-19945-5_4","","No"
"A Survey of Resource Management Challenges in Multi-cloud Environment: Taxonomy and Empirical Analysis","https://scispace.com/papers/a-survey-of-resource-management-challenges-in-multi-cloud-2gfikxs79s","2018","Journal Article","IEEE International Conference on High Performance Computing, Data, and Analytics","Bandar Aldawsari
Thar Baker
Muhammad Asim
Zakaria Maamar
Dhiya Al-Jumeily
Mohammed Al-Khafajiy","10.32010/26166127.2018.1.1.51.65","https://scispace.com/pdf/a-survey-of-resource-management-challenges-in-multi-cloud-2gfikxs79s.pdf","Yes"
"Supporting the Development and Operation of Multi-cloud Applications: The MODAClouds Approach","https://scispace.com/papers/supporting-the-development-and-operation-of-multi-cloud-4zlu5eqyb6","2013","Proceedings Article","Symbolic and Numeric Algorithms for Scientific Computing","Elisabetta Di Nitto
Marcos Aurélio Almeida da Silva
Danilo Ardagna
Giuliano Casale
Ciprian Dorin Craciun
Nicolas Ferry
Victor Muntes
Arnor Solberg","10.1109/SYNASC.2013.61","","No"
"Conductor: orchestrating the clouds","https://scispace.com/papers/conductor-orchestrating-the-clouds-1yxjy4wky1","2010","Proceedings Article","","Alexander Wieder
Pramod Bhatotia
Ansley Post
Rodrigo Rodrigues","10.1145/1859184.1859197","","No"
"Cloud implementation orchestration","https://scispace.com/papers/cloud-implementation-orchestration-2v5nw3wjzm","2014","Patent","","Rajeev Pandey
Matthew Farina","","","No"
"TORCH: a TOSCA-Based Orchestrator of Multi-Cloud Containerised Applications","https://scispace.com/papers/torch-a-tosca-based-orchestrator-of-multi-cloud-47eum5p59m","2021","Journal Article","Journal of Grid Computing","Orazio Tomarchio
Domenico Calcaterra
Giuseppe Di Modica
Pietro Mazzaglia","10.1007/S10723-021-09549-Z","https://scispace.com/pdf/torch-a-tosca-based-orchestrator-of-multi-cloud-47eum5p59m.pdf","Yes"
"Support Services for Applications Execution in Multi-clouds Environments","https://scispace.com/papers/support-services-for-applications-execution-in-multi-clouds-3pech294yb","2016","Proceedings Article","International Conference on Autonomic Computing","Daniel Pop
Gabriel Iuhasz
Ciprian Craciun
Silviu Panica","10.1109/ICAC.2016.19","","No"
"A Framework for Controlling and Managing Hybrid Cloud Service Integration","https://scispace.com/papers/a-framework-for-controlling-and-managing-hybrid-cloud-27dda2gpgx","2013","Proceedings Article","IEEE International Conference on Cloud Engineering","G. Breiter
Vijay K. Naik","10.1109/IC2E.2013.48","","No"
"A declarative approach for service enablement on hybrid cloud orchestration engines","https://scispace.com/papers/a-declarative-approach-for-service-enablement-on-hybrid-5aipnz1otq","2018","Proceedings Article","Network Operations and Management Symposium","Asthana Neeraj
Tom Chefalas
Alexei Karve
Alla Segal
Mahika Dubey
Sai Zeng","10.1109/NOMS.2018.8406175","","No"
"Orchestrating Complex Application Architectures in Heterogeneous Clouds","https://scispace.com/papers/orchestrating-complex-application-architectures-in-27324j1t7p","2018","Journal Article","Journal of Grid Computing","Miguel Caballer
Sahdev Zala
Álvaro López García
Germán Moltó
Pablo Orviz Fernández
Mathieu Velten","10.1007/S10723-017-9418-Y","https://scispace.com/pdf/orchestrating-complex-application-architectures-in-27324j1t7p.pdf","Yes"
"CloudMF: Model-Driven Management of Multi-Cloud Applications","https://scispace.com/papers/cloudmf-model-driven-management-of-multi-cloud-applications-3ie17uboqd","2018","Journal Article","ACM Transactions on Internet Technology","Nicolas Ferry
Franck Chauvel
Hui Song
Alessandro Rossini
Maksym Lushpenko
Arnor Solberg","10.1145/3125621","","No"
"Distributed and Intelligent API Mediation Service for Enterprise-Grade Hybrid-Multicloud Computing","https://scispace.com/papers/distributed-and-intelligent-api-mediation-service-for-12s457yhhl","2023","Journal Article","","Hongyi Bian
Rcc Chang
Kumar Bhaskaran
Wensheng Zhang
Carl K. Chang","10.1109/sse60056.2023.00025","","No"
"Cost Minimization in Multi-cloud Systems with Runtime Microservice Re-orchestration","https://scispace.com/papers/cost-minimization-in-multi-cloud-systems-with-runtime-3ig1zwiy3q","2024","Journal Article","arXiv.org","Marco Zambianco
Silvio Cretti
Domenico Siracusa","10.48550/arxiv.2401.01408","","No"
"Disruption-aware Microservice Re-orchestration for Cost-efficient
  Multi-cloud Deployments","https://scispace.com/papers/disruption-aware-microservice-re-orchestration-for-cost-3dht7stgbofh","2025","Journal Article","","Marco Zambianco
Silvio Cretti
Domenico Siracusa","10.48550/arxiv.2501.16143","https://scispace.com/pdf/disruption-aware-microservice-re-orchestration-for-cost-3dht7stgbofh.pdf","No"
"A provider-agnostic approach to multi-cloud orchestration using a constraint language","https://scispace.com/papers/a-provider-agnostic-approach-to-multi-cloud-orchestration-3jp5e077cp","2018","Proceedings Article","IEEE/ACM International Symposium Cluster, Cloud and Grid Computing","Daniel Baur
Daniel Seybold
Frank Griesinger
Hynek Masata
Jörg Domaschka","10.1109/CCGRID.2018.00032","https://scispace.com/pdf/a-provider-agnostic-approach-to-multi-cloud-orchestration-3jp5e077cp.pdf","Yes"
"PacificClouds: A Flexible MicroServices based Architecture for Interoperability in Multi-Cloud Environments.","https://scispace.com/papers/pacificclouds-a-flexible-microservices-based-architecture-2o6vmysod3","2018","Proceedings Article","International Conference on Cloud Computing and Services Science","Juliana Oliveira de Carvalho
Fernando Trinta
Dario Vieira","10.5220/0006705604480455","","Yes"
"Consuming Resources and Services from Multiple Clouds","https://scispace.com/papers/consuming-resources-and-services-from-multiple-clouds-48euyq57up","2014","Journal Article","Grid Computing","Dana Petcu","10.1007/S10723-013-9290-3","","No"
"Deployment Management and Topology Discovery of Microservice Applications in the Multicloud Environment","https://scispace.com/papers/deployment-management-and-topology-discovery-of-microservice-3cxinyg8ng","2021","Journal Article","Journal of Grid Computing","Hao Wei
Joaquín Salvachúa Rodríguez
Octavio Nieto-Taladriz García","10.1007/S10723-021-09539-1","","No"
"Orchestration engine blueprint aspects for hybrid cloud composition","https://scispace.com/papers/orchestration-engine-blueprint-aspects-for-hybrid-cloud-4b2lceztwy","2019","Patent","","Asthana Neeraj
Chefalas Thomas
Karve Alexei
Pickover Clifford","","","No"
"Heterogeneous Resource Management and Orchestration in Cloud Environments","https://scispace.com/papers/heterogeneous-resource-management-and-orchestration-in-cloud-3f2gwdd9ai","2017","Book Chapter","International Conference on Cloud Computing and Services Science","Dapeng Dong
Huanhuan Xiong
Gabriel G. Castañé
Paul Stack
John P. Morrison","10.1007/978-3-319-94959-8_4","","No"
"Cloud orchestration features: are tools fit for purpose?","https://scispace.com/papers/cloud-orchestration-features-are-tools-fit-for-purpose-41nzhps00l","2015","Proceedings Article","IEEE/ACM International Conference Utility and Cloud Computing","Daniel Baur
Daniel Seybold
Frank Griesinger
Athanasios Tsitsipas
Christopher B. Hauser
Jörg Domaschka","10.1109/UCC.2015.25","","Yes"
"Towards a Classification of Multiple-Cloud Computing Concepts and Terms","https://scispace.com/papers/towards-a-classification-of-multiple-cloud-computing-10bxfytw38","2014","Book Chapter","European Conference on Service-Oriented and Cloud Computing","Hassan Saad Alqahtani
Ghita Kouadri-Mostefaoui","10.1007/978-3-319-14886-1_25","","No"
"Model driven advanced hybrid cloud services for big data: paradigm and practice","https://scispace.com/papers/model-driven-advanced-hybrid-cloud-services-for-big-data-4m36t557zz","2016","","","Xi Yang
Tom Lehman","10.5555/3018100.3018105","","Yes"
"Characterizing the architectures and brokering protocols for enabling clouds interconnection","https://scispace.com/papers/characterizing-the-architectures-and-brokering-protocols-for-3gu5f3snvt","2020","Journal Article","Concurrency and Computation: Practice and Experience","Sajid Latif
S. Mushhad M. Gilani
Liaqat Ali
Saleem Iqbal
Misbah Liaqat
Misbah Liaqat","10.1002/CPE.5676","","No"
"Aggregation of cloud providers: A review of opportunities and challenges","https://scispace.com/papers/aggregation-of-cloud-providers-a-review-of-opportunities-and-50g4k14fde","2015","Proceedings Article","International Conference on Computing, Communication and Automation","Rajni Patel
Deepak Dahiya","10.1109/CCAA.2015.7148448","","No"
"HCA Operator: A Hybrid Cloud Auto-scaling Tooling for Microservice Workloads","https://scispace.com/papers/hca-operator-a-hybrid-cloud-auto-scaling-tooling-for-1g27m5cc","2022","Proceedings Article","International Conference on Mobile Ad-hoc and Sensor Networks","Yuyang Wang
Fan Zhang
Samee U. Khan","10.1109/MSN57253.2022.00143","","No"
"Towards Cross-Layer Monitoring of Multi-Cloud Service-Based Applications","https://scispace.com/papers/towards-cross-layer-monitoring-of-multi-cloud-service-based-2eg58ofnjr","2013","Book Chapter","European Conference on Service-Oriented and Cloud Computing","Chrysostomos Zeginis
Kyriakos Kritikos
Panagiotis Garefalakis
Konstantina Konsolaki
Kostas Magoutis
Dimitris Plexousakis","10.1007/978-3-642-40651-5_16","","No"
"A Runtime Architecture Based Framework Managing Hybrid Clouds","https://scispace.com/papers/a-runtime-architecture-based-framework-managing-hybrid-gax1kswbjz","2015","Proceedings Article","Computer Software and Applications Conference","Xuee Zeng
Xingtu Lan
Xing Chen
Wenzhong Guo","10.1109/COMPSAC.2015.25","","No"
"Advances in Applications Portability and Services Interoperability among Multiple Clouds","https://scispace.com/papers/advances-in-applications-portability-and-services-4qe84yru51","2015","Journal Article","IEEE Cloud Computing","Beniamino Di Martino
Giuseppina Cretella
Antonio Esposito","10.1109/MCC.2015.38","","No"
"Model Driven Deployment of Auto-Scaling Services on Multiple Clouds","https://scispace.com/papers/model-driven-deployment-of-auto-scaling-services-on-multiple-1xmdzav5sx","2018","Proceedings Article","","Hanieh Alipour
Yan Liu","10.1109/ICSA-C.2018.00033","","No"
"Policy as Code: A paradigm shifts in infrastructure security and governance","https://scispace.com/papers/policy-as-code-a-paradigm-shifts-in-infrastructure-security-kvokzawwc4y6","2025","Journal Article","World Journal Of Advanced Research and Reviews","Sundeep Vijayaraghavan","10.30574/wjarr.2025.26.1.1441","","No"
"Ensuring Compliance in Cloud Native Assurance and IT Audits","https://scispace.com/papers/ensuring-compliance-in-cloud-native-assurance-and-it-audits-dhs1pjvmmm2y","2025","Journal Article","","H Abhinav Shankar","10.4018/979-8-3373-3078-5.ch010","","No"
"DevSecOps-Driven Security Framework for CI/CD Pipeline Risk Mitigation","https://scispace.com/papers/devsecops-driven-security-framework-for-ci-cd-pipeline-risk-yjape1hq893s","2025","Journal Article","International journal of computing and engineering","Arpit Mishra","10.47941/ijce.3047","","No"
"Advancing Organizational Resilience Through Enterprise GRC Integration Frameworks","https://scispace.com/papers/advancing-organizational-resilience-through-enterprise-grc-43i377lbd15r","2024","Journal Article","","Nnennaya Halliday","10.62225/2583049x.2024.4.5.4888","","No"
"ARPaCCino: An Agentic-RAG for Policy as Code Compliance","https://scispace.com/papers/arpaccino-an-agentic-rag-for-policy-as-code-compliance-cnydpthqzszp","2025","Journal Article","arXiv.org","Francesco Romeo
Luigi Arena
Francesco Blefari
F. A. Pironti
Matteo Lupinacci
Angelo Furfaro","10.48550/arxiv.2507.10584","https://scispace.com/pdf/arpaccino-an-agentic-rag-for-policy-as-code-compliance-cnydpthqzszp.pdf","No"
"Devops Compliance-as-Code","https://scispace.com/papers/devops-compliance-as-code-mttanramvmo7","2024","Journal Article","Universal library of engineering technology.","Venkata Surendra Reddy Narapareddy
Suresh Kumar Yerramilli","10.70315/uloap.ulete.2024.0102008","","No"
"Automated Architectural Control: Implementing the Governance as Code","https://scispace.com/papers/automated-architectural-control-implementing-the-governance-4l0akjy63go0","2024","Journal Article","","Igor Panasiuk","10.1109/icecie63774.2024.10815678","","No"
"Azure policy implementation for enterprise governance: A framework for regulatory compliance and resource management","https://scispace.com/papers/azure-policy-implementation-for-enterprise-governance-a-7gxlrs8zs4zb","2025","Journal Article","World Journal Of Advanced Research and Reviews","Suresh Kotha Naga Venkata Hanuma","10.30574/wjarr.2025.26.2.2034","","No"
"A DevSecOps Policy-as-Code Model for Compliance Automation in Lakehouse Environments","https://scispace.com/papers/a-devsecops-policy-as-code-model-for-compliance-automation-wr4jottg5s63","2024","Journal Article","Deleted Journal","Babawale Patrick Okare
Tope David Aduloju
Eunice Nduta Kamau
Chisom Elizabeth Alozie
Okeoma Onunka
Linda Azah","10.62225/2583049x.2024.4.6.4594","","No"
"Policy framework for Cloud Computing: AI, governance, compliance and management","https://scispace.com/papers/policy-framework-for-cloud-computing-ai-governance-39pciiwpy43b","2024","Journal Article","Global Journal of Engineering and Technology Advances","Daniel Olatunde Babalola
Adebisi Adedoyin
Foyeke Ogundipe
Adebola Folorunso
Chineme Edgar Nwatu","10.30574/gjeta.2024.21.2.0212","","No"
"CAG: compliance adherence and governance in software delivery using blockchain","https://scispace.com/papers/cag-compliance-adherence-and-governance-in-software-delivery-vfppwiucm2","2019","Proceedings Article","","Kapil Singi
Vikrant Kaulgud
R. P. Jagadeesh Chandra Bose
Sanjay Podder","10.1109/WETSEB.2019.00011","","No"
"Automated compliance management in hybrid cloud architectures: A policy-as-code approach","https://scispace.com/papers/automated-compliance-management-in-hybrid-cloud-7dj1l94yti11","2023","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Adekanmi Miracle Adeyinka","10.30574/wjaets.2023.10.1.0265","","No"
"A Matter of Policy","https://scispace.com/papers/a-matter-of-policy-28mifet7b0","2012","Journal Article","IT Professional","David F. Ferraiolo
Jeffrey Voas
George Hurlburt","10.1109/MITP.2012.30","","No"
"ExPDT: Ein Policy-basierter Ansatz zur Automatisierung von Compliance","https://scispace.com/papers/expdt-ein-policy-basierter-ansatz-zur-automatisierung-von-1v9o8bdtti","2008","Journal Article","Wirtschaftsinformatik und Angewandte Informatik","Stefan Sackmann
Martin Kähmer","10.1007/S11576-008-0078-1","","No"
"Amazon Web Services Cloud Compliance Automation with Open Policy Agent","https://scispace.com/papers/amazon-web-services-cloud-compliance-automation-with-open-21c8o96wzpz5","2024","Journal Article","","Arya Paul
R. Joseph Manoj
S. Udhayakumar","10.1109/icoeca62351.2024.00063","","No"
"Modeling laws with nomos 2","https://scispace.com/papers/modeling-laws-with-nomos-2-4jnzvpmhwr","2013","Proceedings Article","International Workshop on Requirements Engineering and Law","Silvia Ingolfo
Alberto Siena
Angelo Susi
Anna Perini
John Mylopoulos","10.1109/RELAW.2013.6671350","","No"
"rtGovOps: A Runtime Framework for Governance in Large-Scale Software-Defined IoT Cloud Systems","https://scispace.com/papers/rtgovops-a-runtime-framework-for-governance-in-large-scale-4j8w72molm","2015","Proceedings Article","Mobile Cloud Computing & Services","Stefan Nastic
Michael Vogler
Christian Inzinger
Hong-Linh Truong
Schahram Dustdar","10.1109/MOBILECLOUD.2015.38","https://scispace.com/pdf/rtgovops-a-runtime-framework-for-governance-in-large-scale-4j8w72molm.pdf","Yes"
"Understanding Everything as Code: A Taxonomy and Conceptual Model","https://scispace.com/papers/understanding-everything-as-code-a-taxonomy-and-conceptual-gzub1a7p18tv","2025","Journal Article","arXiv.org","Haoran Wei
Nazim H. Madhavji
John Steinbacher","10.48550/arxiv.2507.05100","https://scispace.com/pdf/understanding-everything-as-code-a-taxonomy-and-conceptual-gzub1a7p18tv.pdf","No"
"Secure Software Engineering: A Synthesis of SSDLC, Devsecops, and Ai-Driven Threat Mitigation","https://scispace.com/papers/secure-software-engineering-a-synthesis-of-ssdlc-devsecops-simvljjoi0w6","2025","Journal Article","Deleted Journal","Augustine Osazee Airhiavbere
Desmond Nomaren Idehen","10.62054/ijdm/0203.13","https://scispace.com/pdf/secure-software-engineering-a-synthesis-of-ssdlc-devsecops-simvljjoi0w6.pdf","No"
"Rubacon: automated support for model-based compliance engineering","https://scispace.com/papers/rubacon-automated-support-for-model-based-compliance-2dc8cc1qb4","2008","Proceedings Article","International Conference on Software Engineering","Sebastian Höhn
Jan Jürjens","10.1145/1368088.1368228","https://rgse.uni-koblenz.de/jj/publications/papers/icse08tooltalk.pdf","No"
"Assimilating and Optimizing Software Assurance in the SDLC: A Framework and Step-Wise Approach","https://scispace.com/papers/assimilating-and-optimizing-software-assurance-in-the-sdlc-a-41gitpgshc","2010","Journal Article","International Journal of Secure Software Engineering","Aderemi O. Adeniji
Seok-Won Lee","10.4018/JSSE.2010100104","","No"
"Toward (Semi-) Automated End-to-End Model-driven Compliance Framework.","https://scispace.com/papers/toward-semi-automated-end-to-end-model-driven-compliance-gpvbyz55t5","2016","","","Sagar Sunkle
Deepali Kholkar","","http://ceur-ws.org/Vol-1561/paper6.pdf","Yes"
"From Regulatory Policies to Event Monitoring Rules: Towards Model-Driven Compliance Automation","https://scispace.com/papers/from-regulatory-policies-to-event-monitoring-rules-towards-otwqbqf7kw","2006","","","Christopher J. Giblin
Samuel Muller
Birgit Pfitzmann","","","Yes"
